P_coeffs,Q_coeffs,value,constant,c0,c1,c2
"(2,-22,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-22,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-3,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-3,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-7,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-7,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,9,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,9,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-1,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-1,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-4,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-4,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-23,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-23,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,31,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,31,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,19,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,19,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,25,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,25,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,12,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,12,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-17,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-17,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-25,-25)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-25,-25)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,28,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,28,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-22,-25)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-22,-25)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-20,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-20,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-24,-25)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-24,-25)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,34,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,34,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-19,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-19,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,15,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,15,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,16,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,16,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-29,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-29,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-34,-25)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-34,-25)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-21,-25)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-21,-25)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,22,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(2,-26,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-26,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,40,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,40,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-16,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-16,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,18,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,18,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,21,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,21,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,3,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,3,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(4,-10,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,24,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,24,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(4,22,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-13,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-13,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-10,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(2,-31,-25)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-31,-25)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-25,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(2,2,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,2,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-40,-25)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-40,-25)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-15,-25)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-15,-25)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-27,-25)","(39,1,-40)",2,sqrt(2),2,1,-999
"(2,-28,-25)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-28,-25)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,35,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,35,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-37,-25)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-37,-25)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,6,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,6,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-34,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-34,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-33,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-33,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(4,-27,-25)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,27,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,27,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,23,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,23,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-18,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-18,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-6,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-6,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-24,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-24,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-8,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-8,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,13,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,13,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,26,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,26,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-2,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-2,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(4,7,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,38,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,38,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-9,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-9,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,29,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,29,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-30,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-30,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-23,-25)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-23,-25)","(39,1,-40)",4,sqrt(2),4,1,-999
"(4,-25,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,10,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,10,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,20,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,20,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,7,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(2,-18,-25)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-18,-25)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,37,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,37,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,8,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,8,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,30,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,30,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-38,-25)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-38,-25)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,33,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,33,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
