sample_id,depth,prime_An,prime_Bn,doubly_prime,mean_ratio,min_ratio,overflow_depth
3618,72,4,4,0,149.749649,12.691667,72
3619,75,5,7,2,156.506958,17.681482,75
3620,81,6,5,1,146.546585,24.031046,81
3621,80,8,7,2,160.354568,19.037500,80
3622,84,7,6,3,147.634796,11.155773,84
3623,75,8,4,1,164.177673,12.691667,75
3624,74,7,6,0,170.668655,12.691667,74
3625,77,9,4,1,183.641754,12.691667,77
3626,77,8,7,1,163.825409,24.031046,77
3627,68,6,7,1,185.700912,17.681482,68
3628,78,9,4,1,166.013626,12.691667,78
3629,74,6,6,1,173.071045,20.115816,74
3630,78,6,5,0,168.779480,35.630013,78
3631,81,6,6,2,137.175461,19.037500,81
3632,84,7,8,2,146.073593,20.115816,84
3633,66,7,6,0,195.159775,27.889433,66
3634,82,6,2,0,147.821976,12.691667,82
3635,75,8,6,0,164.973328,20.115816,75
3636,81,6,5,1,136.577133,13.410544,81
3637,81,6,4,0,163.364319,35.630013,81
3638,88,9,11,2,137.145126,11.155773,88
3639,76,4,8,1,163.353104,12.691667,76
3640,80,6,4,1,155.153015,12.691667,80
3641,70,6,8,1,164.151016,35.630013,70
3642,61,5,6,0,168.577042,20.115816,61
3643,69,5,5,1,184.700256,12.691667,69
3644,78,4,8,0,163.271454,29.469137,78
3645,80,5,2,0,175.650772,20.115816,80
3646,69,7,3,1,177.244919,12.691667,69
3647,78,2,3,0,152.870972,50.250813,78
3648,89,9,8,2,126.839699,12.011325,89
3649,86,4,7,0,165.387894,29.469137,86
3650,76,9,6,2,164.075180,11.155773,76
3651,71,4,5,1,186.768173,12.011325,71
3652,65,6,6,1,174.923248,17.681482,65
3653,70,6,3,1,181.690796,38.592636,70
3654,62,6,7,1,164.672852,17.681482,62
3655,75,7,4,1,162.902313,12.691667,75
3656,78,5,9,0,164.227203,27.889433,78
3657,73,8,7,4,159.337677,12.691667,73
3658,89,6,8,1,137.899246,12.691667,89
3659,68,5,3,0,175.317535,17.681482,68
3660,80,11,3,0,159.325272,22.370153,80
3661,81,8,6,0,143.019196,25.902905,81
3662,70,4,6,0,201.621140,20.115816,70
3663,70,5,1,1,187.291412,25.902905,70
3664,70,7,7,2,190.248779,19.037500,70
