sample_id,depth,prime_An,prime_Bn,doubly_prime,mean_ratio,min_ratio,overflow_depth
9573,40,3,3,0,93.823082,12.691667,40
9574,44,8,6,2,95.495682,12.691667,44
9575,47,4,6,0,105.727486,20.115816,47
9576,40,2,9,1,121.445587,20.115816,40
9577,36,4,5,1,120.169411,29.469137,36
9578,45,5,5,1,125.439240,12.691667,45
9579,41,6,4,1,100.716309,27.889433,41
9580,34,0,5,0,126.926086,29.469137,34
9581,41,6,8,0,107.626282,17.681482,41
9582,42,6,7,0,114.037155,17.681482,42
9583,35,4,6,1,126.845406,20.115816,35
9584,42,8,6,3,118.198395,9.634301,42
9585,36,3,5,1,107.542107,20.115816,36
9586,32,3,5,0,135.376495,12.691667,32
9587,33,5,3,1,104.318710,12.011325,33
9588,44,4,4,1,129.097778,44.629848,44
9589,46,4,8,0,113.980751,34.584476,46
9590,42,5,7,2,97.320053,20.115816,42
9591,31,5,4,1,127.832916,48.536545,31
9592,38,5,5,2,116.467857,12.691667,38
9593,32,3,4,0,95.073914,12.691667,32
9594,39,9,6,2,97.395103,11.155773,39
9595,35,4,7,1,100.605698,36.821884,35
9596,43,6,4,2,104.666985,12.691667,43
9597,40,8,7,2,93.566452,12.691667,40
9598,39,5,6,0,112.841377,29.469137,39
9599,39,6,5,1,98.091499,12.011325,39
9600,37,3,5,1,119.463799,12.691667,37
9601,32,1,6,0,143.313293,20.115816,32
9602,33,3,4,1,147.392731,61.920605,33
9603,32,6,4,1,119.902359,15.270006,32
9604,37,7,7,3,109.405762,12.011325,37
9605,30,3,5,0,137.364609,19.037500,30
9606,39,7,8,4,104.909622,11.155773,39
9607,37,4,3,0,118.988884,33.720055,37
9608,41,8,3,0,115.256386,20.115816,41
9609,34,6,8,1,135.568817,46.944386,34
9610,45,7,5,2,98.258331,20.115816,45
9611,38,5,6,1,110.803719,12.691667,38
9612,38,1,8,0,101.875946,12.011325,38
9613,39,3,7,1,108.806931,10.349608,39
9614,43,9,7,3,108.143204,12.691667,43
9615,37,3,5,2,103.339622,12.011325,37
9616,35,5,3,0,123.488319,41.552361,35
9617,36,6,9,1,121.911285,29.055025,36
9618,37,6,4,2,110.526917,24.031046,37
9619,43,12,6,2,108.086090,27.046902,43
9620,46,3,8,1,125.242668,44.242664,46
9621,42,5,4,0,119.268906,38.298103,42
9622,44,7,8,3,102.725983,12.691667,44
9623,40,11,8,3,105.422737,12.011325,40
9624,35,5,5,1,111.211464,43.905952,35
9625,38,2,2,0,141.765396,20.115816,38
9626,40,4,6,1,121.324173,35.630013,40
