t,rho
7.801980,0.590276680319
7.811881,0.592219629184
7.821782,0.594157387622
7.831683,0.596089176249
7.841584,0.598014243561
7.851485,0.599931865153
7.861386,0.601841342933
7.871287,0.603742004345
7.881188,0.605633201599
7.891089,0.607514310913
7.900990,0.609384731769
7.910891,0.611243886182
7.920792,0.613091217993
7.930693,0.614926192174
7.940594,0.616748294155
7.950495,0.618557029175
7.960396,0.620351921645
7.970297,0.622132514541
7.980198,0.623898368807
7.990099,0.625649062791
8.000000,0.627384191692
8.009901,0.629103367028
8.019802,0.630806216127
8.029703,0.632492381636
8.039604,0.634161521043
8.049505,0.635813306228
8.059406,0.637447423018
8.069307,0.639063570771
8.079208,0.640661461968
8.089109,0.642240821822
8.099010,0.643801387906
8.108911,0.645342909790
8.118812,0.646865148697
8.128713,0.648367877164
8.138614,0.649850878727
8.148515,0.651313947606
8.158416,0.652756888414
8.168317,0.654179515862
8.178218,0.655581654491
8.188119,0.656963138399
8.198020,0.658323810990
8.207921,0.659663524721
8.217822,0.660982140866
8.227723,0.662279529285
8.237624,0.663555568199
8.247525,0.664810143978
8.257426,0.666043150929
8.267327,0.667254491096
8.277228,0.668444074065
8.287129,0.669611816773
8.297030,0.670757643329
8.306931,0.671881484830
8.316832,0.672983279194
8.326733,0.674062970990
8.336634,0.675120511276
8.346535,0.676155857441
8.356436,0.677168973051
8.366337,0.678159827700
8.376238,0.679128396865
8.386139,0.680074661762
8.396040,0.680998609210
8.405941,0.681900231496
8.415842,0.682779526241
8.425743,0.683636496277
8.435644,0.684471149515
8.445545,0.685283498827
8.455446,0.686073561927
8.465347,0.686841361250
8.475248,0.687586923840
8.485149,0.688310281237
8.495050,0.689011469367
8.504950,0.689690528435
8.514851,0.690347502820
8.524752,0.690982440968
8.534653,0.691595395296
8.544554,0.692186422085
8.554455,0.692755581391
8.564356,0.693302936940
8.574257,0.693828556041
8.584158,0.694332509488
8.594059,0.694814871470
8.603960,0.695275719484
8.613861,0.695715134243
8.623762,0.696133199592
8.633663,0.696530002419
8.643564,0.696905632578
8.653465,0.697260182796
8.663366,0.697593748601
8.673267,0.697906428237
8.683168,0.698198322585
8.693069,0.698469535087
8.702970,0.698720171667
8.712871,0.698950340659
8.722772,0.699160152729
8.732673,0.699349720803
8.742574,0.699519159996
8.752475,0.699668587539
8.762376,0.699798122709
8.772277,0.699907886763
8.782178,0.699998002866
8.792079,0.700068596025
8.801980,0.700119793025
8.811881,0.700151722361
8.821782,0.700164514177
8.831683,0.700158300201
8.841584,0.700133213684
8.851485,0.700089389336
8.861386,0.700026963270
8.871287,0.699946072942
8.881188,0.699846857089
8.891089,0.699729455677
8.900990,0.699594009842
8.910891,0.699440661833
8.920792,0.699269554962
8.930693,0.699080833548
8.940594,0.698874642865
8.950495,0.698651129089
8.960396,0.698410439251
8.970297,0.698152721186
8.980198,0.697878123484
8.990099,0.697586795441
9.000000,0.697278887018
9.009901,0.696954548791
9.019802,0.696613931907
9.029703,0.696257188043
9.039604,0.695884469362
9.049505,0.695495928471
9.059406,0.695091718383
9.069307,0.694671992479
9.079208,0.694236904465
9.089109,0.693786608340
9.099010,0.693321258358
9.108911,0.692841008995
9.118812,0.692346014912
9.128713,0.691836430928
9.138614,0.691312411984
9.148515,0.690774113116
9.158416,0.690221689425
9.168317,0.689655296050
9.178218,0.689075088140
9.188119,0.688481220834
9.198020,0.687873849228
9.207921,0.687253128362
9.217822,0.686619213193
9.227723,0.685972258576
9.237624,0.685312419246
9.247525,0.684639849802
9.257426,0.683954704687
9.267327,0.683257138176
9.277228,0.682547304364
9.287129,0.681825357151
9.297030,0.681091450231
9.306931,0.680345737087
9.316832,0.679588370980
9.326733,0.678819504942
9.336634,0.678039291775
9.346535,0.677247884041
9.356436,0.676445434067
