d,R(d)
2446,1351
2447,2751
2448,947
2449,2767
2450,1257
2451,1581
2452,1295
2453,2486
2454,880
2455,2202
2456,1468
2457,1433
2458,1340
2459,2646
2460,696
2461,2472
2462,1430
2463,1792
2464,940
2465,1688
2466,820
2467,2750
2468,1205
2469,1754
2470,1080
2471,2532
2472,820
2473,2420
2474,1610
2475,1643
2476,1606
2477,2853
2478,800
2479,2653
2480,1343
2481,1965
2482,1183
2483,2420
2484,1026
2485,1571
2486,1336
2487,1849
2488,1377
2489,2660
2490,755
2491,2298
2492,1208
2493,2220
2494,1542
2495,2335
2496,855
2497,2503
2498,1242
2499,1470
2500,1203
2501,2673
2502,1120
2503,2676
2504,1177
2505,1418
2506,1240
2507,2560
2508,760
2509,2415
2510,1098
2511,1530
2512,1428
2513,2221
2514,940
2515,2210
2516,1467
2517,1750
2518,1614
2519,2524
2520,665
2521,2625
2522,1370
2523,1835
2524,1350
2525,2350
2526,745
2527,1920
2528,1377
2529,1714
2530,880
2531,3045
2532,913
2533,2653
2534,1195
2535,1200
2536,1445
2537,2443
2538,1105
2539,2823
2540,913
2541,1615
2542,1060
2543,3095
2544,920
2545,2355
2546,1197
2547,1668
2548,1092
2549,2949
2550,540
2551,2925
2552,1277
2553,1723
2554,1640
2555,1890
2556,720
2557,2750
2558,1376
2559,1694
2560,1054
2561,2600
2562,770
2563,2330
2564,1097
2565,1345
2566,1507
2567,2835
2568,895
2569,2321
2570,1336
2571,1796
2572,1470
2573,2545
2574,675
2575,2038
2576,1210
2577,1897
2578,1540
2579,3065
2580,820
2581,2633
2582,1356
2583,1582
2584,1235
2585,1750
2586,906
2587,2652
2588,1230
2589,1650
2590,780
2591,2919
2592,980
2593,2968
2594,1473
2595,1390
2596,1087
2597,2356
2598,910
2599,2666
2600,1086
2601,1810
2602,1228
2603,2900
2604,713
2605,2087
2606,1360
2607,1718
2608,1335
2609,2978
2610,794
2611,2286
2612,1560
2613,1915
2614,1494
2615,2202
2616,1138
2617,2729
2618,780
2619,1737
2620,1109
2621,3227
2622,1030
2623,2616
2624,1509
2625,1818
2626,1344
2627,2655
