d,alpha,ratio,a1,a2,max_digit
791,136,0.17193426,5,1,5
792,137,0.17297980,5,1,5
793,137,0.17276166,5,1,5
794,143,0.18010076,5,1,5
795,139,0.17484277,5,1,5
796,137,0.17211055,5,1,5
797,138,0.17314931,5,1,5
798,137,0.17167920,5,1,5
799,140,0.17521902,5,1,5
800,137,0.17125000,5,1,5
801,139,0.17353308,5,1,5
802,137,0.17082294,5,1,5
803,140,0.17434620,5,1,5
804,139,0.17288557,5,1,5
805,139,0.17267081,5,1,5
806,145,0.17990074,5,1,5
807,145,0.17967782,5,1,5
808,141,0.17450495,5,1,5
809,139,0.17181706,5,1,5
810,139,0.17160494,5,1,5
811,140,0.17262639,5,1,5
812,151,0.18596059,5,2,5
813,139,0.17097171,5,1,5
814,141,0.17321867,5,1,5
815,141,0.17300613,5,1,5
816,145,0.17769608,5,1,5
817,145,0.17747858,5,1,5
818,143,0.17481663,5,1,5
819,142,0.17338217,5,1,5
820,141,0.17195122,5,1,5
821,141,0.17174178,5,1,5
822,155,0.18856448,5,3,5
823,148,0.17982989,5,1,5
824,141,0.17111650,5,1,5
825,142,0.17212121,5,1,5
826,145,0.17554479,5,1,5
827,143,0.17291415,5,1,5
828,143,0.17270531,5,1,5
829,142,0.17129071,5,1,5
830,147,0.17710843,5,1,5
831,142,0.17087846,5,1,5
832,145,0.17427885,5,1,5
833,143,0.17166867,5,1,5
834,161,0.19304556,5,5,5
835,143,0.17125749,5,1,5
836,145,0.17344498,5,1,5
837,143,0.17084827,5,1,5
838,155,0.18496420,5,2,5
839,144,0.17163290,5,1,5
840,181,0.21547619,4,1,4
841,144,0.17122473,5,1,5
842,145,0.17220903,5,1,5
843,145,0.17200474,5,1,5
844,145,0.17180095,5,1,5
845,146,0.17278107,5,1,5
846,155,0.18321513,5,2,5
847,145,0.17119244,5,1,5
848,145,0.17099057,5,1,5
849,146,0.17196702,5,1,5
850,147,0.17294118,5,1,5
851,146,0.17156287,5,1,5
852,149,0.17488263,5,1,5
853,148,0.17350528,5,1,5
854,149,0.17447307,5,1,5
855,149,0.17426901,5,1,5
856,157,0.18341121,5,2,5
857,148,0.17269545,5,1,5
858,163,0.18997669,5,3,5
859,147,0.17112922,5,1,5
860,149,0.17325581,5,1,5
861,151,0.17537747,5,1,5
862,151,0.17517401,5,1,5
863,149,0.17265353,5,1,5
864,161,0.18634259,5,2,5
865,148,0.17109827,5,1,5
866,151,0.17436490,5,1,5
867,152,0.17531719,5,1,5
868,149,0.17165899,5,1,5
869,150,0.17261220,5,1,5
