q,tau_q,alpha_q,f_alpha
-8.0300,4.605837343882806,0.000000000000000,-4.605837343882806
-8.0200,4.605837343882806,0.000000000000000,-4.605837343882806
-8.0100,4.605837343882806,0.000000000000000,-4.605837343882806
-8.0000,4.605837343882806,0.000000000000000,-4.605837343882806
-7.9900,4.605837343882806,0.000000000000000,-4.605837343882806
-7.9800,4.605837343882806,0.000000000000000,-4.605837343882806
-7.9700,4.605837343882806,0.000000000000000,-4.605837343882806
-7.9600,4.605837343882806,0.000000000000000,-4.605837343882806
-7.9500,4.605837343882806,0.000000000000000,-4.605837343882806
-7.9400,4.605837343882806,0.000000000000000,-4.605837343882806
-7.9300,4.605837343882806,0.000000000000000,-4.605837343882806
-7.9200,4.605837343882806,0.000000000000000,-4.605837343882806
-7.9100,4.605837343882806,0.000000000000000,-4.605837343882806
-7.9000,4.605837343882806,0.000000000000000,-4.605837343882806
-7.8900,4.605837343882806,0.000000000000000,-4.605837343882806
-7.8800,4.605837343882806,-0.000000000071321,-4.605837343320799
-7.8700,4.605837343881380,-0.000000000071321,-4.605837343320085
-7.8600,4.605837343881380,0.000000000000000,-4.605837343881380
-7.8500,4.605837343881380,0.000000000000000,-4.605837343881380
-7.8400,4.605837343881380,0.000000000000000,-4.605837343881380
-7.8300,4.605837343881380,0.000000000000000,-4.605837343881380
-7.8200,4.605837343881380,0.000000000000000,-4.605837343881380
-7.8100,4.605837343881380,0.000000000000000,-4.605837343881380
-7.8000,4.605837343881380,0.000000000000000,-4.605837343881380
-7.7900,4.605837343881380,0.000000000000000,-4.605837343881380
-7.7800,4.605837343881380,0.000000000000000,-4.605837343881380
-7.7700,4.605837343881380,0.000000000000000,-4.605837343881380
-7.7600,4.605837343881380,0.000000000000000,-4.605837343881380
-7.7500,4.605837343881380,0.000000000000000,-4.605837343881380
-7.7400,4.605837343881380,0.000000000000000,-4.605837343881380
-7.7300,4.605837343881380,0.000000000000000,-4.605837343881380
-7.7200,4.605837343881380,0.000000000000000,-4.605837343881380
-7.7100,4.605837343881380,0.000000000000000,-4.605837343881380
-7.7000,4.605837343881380,0.000000000000000,-4.605837343881380
-7.6900,4.605837343881380,0.000000000000000,-4.605837343881380
-7.6800,4.605837343881380,0.000000000000000,-4.605837343881380
-7.6700,4.605837343881380,0.000000000000000,-4.605837343881380
-7.6600,4.605837343881380,0.000000000000000,-4.605837343881380
-7.6500,4.605837343881380,0.000000000000000,-4.605837343881380
-7.6400,4.605837343881380,0.000000000000000,-4.605837343881380
-7.6300,4.605837343881380,0.000000000000000,-4.605837343881380
-7.6200,4.605837343881380,-0.000000000113776,-4.605837343014409
-7.6100,4.605837343879104,-0.000000000113776,-4.605837343013271
-7.6000,4.605837343879104,0.000000000000000,-4.605837343879104
-7.5900,4.605837343879104,0.000000000000000,-4.605837343879104
-7.5800,4.605837343879104,0.000000000000000,-4.605837343879104
-7.5700,4.605837343879104,0.000000000000000,-4.605837343879104
-7.5600,4.605837343879104,0.000000000000000,-4.605837343879104
-7.5500,4.605837343879104,0.000000000000000,-4.605837343879104
-7.5400,4.605837343879104,0.000000000000000,-4.605837343879104
-7.5300,4.605837343879104,0.000000000000000,-4.605837343879104
-7.5200,4.605837343879104,0.000000000000000,-4.605837343879104
-7.5100,4.605837343879104,0.000000000000000,-4.605837343879104
-7.5000,4.605837343879104,0.000000000000000,-4.605837343879104
-7.4900,4.605837343879104,0.000000000000000,-4.605837343879104
-7.4800,4.605837343879104,0.000000000000000,-4.605837343879104
-7.4700,4.605837343879104,0.000000000000000,-4.605837343879104
-7.4600,4.605837343879104,-0.000000000556799,-4.605837339725383
-7.4500,4.605837343867968,-0.000000000556799,-4.605837339719815
-7.4400,4.605837343867968,0.000000000000000,-4.605837343867968
-7.4300,4.605837343867968,0.000000000000000,-4.605837343867968
-7.4200,4.605837343867968,0.000000000000000,-4.605837343867968
-7.4100,4.605837343867968,0.000000000000000,-4.605837343867968
-7.4000,4.605837343867968,0.000000000000000,-4.605837343867968
-7.3900,4.605837343867968,0.000000000000000,-4.605837343867968
-7.3800,4.605837343867968,0.000000000000000,-4.605837343867968
